prot,lig,score
7WUX_6OI_protein,7WUX,0.0
7UEY_N0R_protein,7UEY,0.0
7R3D_APR_protein,7R3D,0.0
6Z2C_Q5E_protein,6Z2C,0.25
7TXK_LW8_protein,7TXK,0.52278733
7TS6_KMI_protein,7TS6,0.0
8FLV_ZB9_protein,8FLV,0.24441747
6YSP_PAL_protein,6YSP,0.0
7BTT_F8R_protein,7BTT,0.1344697
7NML_I7B_protein,7NML,0.0
8B8H_OJQ_protein,8B8H,0.0
7BLA_WCS_protein,7BLA,0.0
7P2W_4QR_protein,7P2W,0.0
7P4J_5JK_protein,7P4J,0.6519074
7NF0_BYN_protein,7NF0,0.0
7NPL_UKZ_protein,7NPL,0.0
6XBO_5MC_protein,6XBO,0.0
7X9K_8OG_protein,7X9K,0.0
7NA4_1I9_protein,7NA4,0.0
8DKO_TFB_protein,8DKO,0.0015197569
7M41_YQG_protein,7M41,0.0
7LZD_YHY_protein,7LZD,0.0
5SB2_1K2_protein,5SB2,0.115344465
8EX2_Q2Q_protein,8EX2,0.2307047
7BLG_GAL_protein,7BLG,0.0
7TOM_5AD_protein,7TOM,0.0
7B94_ANP_protein,7B94,0.2859576
8DW5_FQ7_protein,8DW5,0.0
7RWS_4UR_protein,7RWS,0.0
7UYB_OK0_protein,7UYB,0.2863777
7RNI_60I_protein,7RNI,0.32276657
7NU0_DCL_protein,7NU0,0.0
8E77_ULP_protein,8E77,0.0
7JGW_V9S_protein,7JGW,0.26851392
7JR8_VH7_protein,7JR8,0.81662357
7D8Q_GZF_protein,7D8Q,0.0
7MFP_Z7P_protein,7MFP,0.0
6YQV_8K2_protein,6YQV,0.2412993
7VQ9_ISY_protein,7VQ9,0.019085769
7UMV_NUU_protein,7UMV,0.03670121
7AA0_R6B_protein,7AA0,0.0
7ELT_TYM_protein,7ELT,0.0
7T1D_E7K_protein,7T1D,0.0
7DUA_HJ0_protein,7DUA,0.21421215
6ZCY_QF8_protein,6ZCY,0.6663961
8BOM_QU6_protein,8BOM,0.5538827
7ZF0_DHR_protein,7ZF0,0.0
7WQQ_5Z6_protein,7WQQ,0.8737569
7UY4_SMI_protein,7UY4,0.00052631577
8EYE_X4I_protein,8EYE,0.6268688
7QE4_NGA_protein,7QE4,0.0
6XUM_30L_protein,6XUM,0.0
8C5M_MTA_protein,8C5M,0.9991497
7S9H_7PP_protein,7S9H,0.7392761
7ES1_UDP_protein,7ES1,0.0
7JG0_GAR_protein,7JG0,0.07846715
7X5N_5M5_protein,7X5N,0.0
7MS7_ZQ1_protein,7MS7,0.0004587156
8AAU_LH0_protein,8AAU,0.57758623
7JXX_VP7_protein,7JXX,0.20156556
7AKL_RK5_protein,7AKL,0.36266667
7P4V_DAT_protein,7P4V,0.0
7NLK_UHK_protein,7NLK,0.3524816
6Z1C_7EY_protein,6Z1C,0.95677364
7ZCC_OGA_protein,7ZCC,0.0
7A9E_R4W_protein,7A9E,0.0
5SIS_JSM_protein,5SIS,0.19598766
7ECR_SIN_protein,7ECR,0.0
7Q5I_I0F_protein,7Q5I,0.8441742
7QHG_T3B_protein,7QHG,0.12175156
7ODY_DGI_protein,7ODY,0.030967742
8DZT_G4P_protein,8DZT,0.0
8FO5_Y4U_protein,8FO5,0.018992249
7M3H_YPV_protein,7M3H,0.0
7KM8_WPD_protein,7KM8,0.39840716
7KLX_WOV_protein,7KLX,0.0
7V3S_5I9_protein,7V3S,0.84034455
7T0U_E3I_protein,7T0U,0.061131388
7MGT_ZD4_protein,7MGT,0.0
6XAF_GDP_protein,6XAF,0.0
7ZOC_T8E_protein,7ZOC,0.979128
7KZ9_XN7_protein,7KZ9,0.37914366
7DKT_GLF_protein,7DKT,0.0
6YJA_2BA_protein,6YJA,0.0
8BPL_CP_protein,8BPL,0.0
7WN5_JGL_protein,7WN5,0.0
8CNH_V6U_protein,8CNH,0.0
6ZAE_ACV_protein,6ZAE,0.0
7K41_VUA_protein,7K41,0.6060606
7OFK_VCH_protein,7OFK,0.95
6Y7L_QMG_protein,6Y7L,0.0
7BCP_GCO_protein,7BCP,0.41342142
7V3N_AKG_protein,7V3N,0.0
8D5D_5DK_protein,8D5D,0.0
7ZXV_45D_protein,7ZXV,0.0
6Z4N_Q7B_protein,6Z4N,0.0
7AN5_RDH_protein,7AN5,0.0
6ZX3_QRZ_protein,6ZX3,0.0
8AUH_L9I_protein,8AUH,0.31903353
7WL4_JFU_protein,7WL4,0.8034274
7C6P_SQH_protein,7C6P,0.0
7N7H_CTP_protein,7N7H,0.021329366
7EPV_FDA_protein,7EPV,0.0
7C0U_FGO_protein,7C0U,0.3013766
7XPO_UPG_protein,7XPO,0.0
7FRX_O88_protein,7FRX,0.0
8CGC_LMR_protein,8CGC,0.0
7XBV_APC_protein,7XBV,0.46831596
7DIN_MPO_protein,7DIN,0.0
7OMJ_GCP_protein,7OMJ,0.11899642
7EN7_J79_protein,7EN7,0.0
7LEV_0JO_protein,7LEV,0.0
7DQL_4CL_protein,7DQL,0.38737375
8HO0_3ZI_protein,8HO0,0.0
7XFA_D9J_protein,7XFA,0.7870735
7CNQ_G8X_protein,7CNQ,0.0
6ZK5_IMH_protein,6ZK5,0.6987021
7KC5_BJZ_protein,7KC5,0.7582079
7VB8_STL_protein,7VB8,0.0
7UP3_NZ0_protein,7UP3,0.8333333
7Z1Q_NIO_protein,7Z1Q,0.0
7R9N_F97_protein,7R9N,0.18178104
7RH3_59O_protein,7RH3,0.18181819
7REE_4LY_protein,7REE,0.35871848
8BRO_R7E_protein,8BRO,0.0
7CTM_BDP_protein,7CTM,0.0
7U3J_L6U_protein,7U3J,0.017718237
7PK0_BYC_protein,7PK0,0.0
7PUV_84Z_protein,7PUV,0.7966361
7QK0_EBL_protein,7QK0,0.0
7P1F_KFN_protein,7P1F,0.8278146
8F4J_PHO_protein,8F4J,0.0
7T2I_E9F_protein,7T2I,0.0
7RZL_NPO_protein,7RZL,0.0
7VWF_K55_protein,7VWF,0.19428387
7RH8_UTP_protein,7RH8,0.0
7SNE_9XR_protein,7SNE,0.0
6W59_SZD_protein,6W59,0.0
8C5D_GTB_protein,8C5D,0.6639038
7JY3_VUD_protein,7JY3,0.0
7RPZ_6IC_protein,7RPZ,0.0
7PRM_81I_protein,7PRM,0.0
7MGY_ZD1_protein,7MGY,0.8669154
7FT9_4MB_protein,7FT9,0.0
7Q27_8KC_protein,7Q27,0.81164384
7TWC_CXS_protein,7TWC,0.0
7KP6_WTP_protein,7KP6,0.2529018
7UJ5_DGL_protein,7UJ5,0.0
7NLV_UJE_protein,7NLV,0.0
7CD9_FVR_protein,7CD9,0.0
7ORW_7WA_protein,7ORW,0.0
7C3U_AZG_protein,7C3U,0.0
7ODX_DGP_protein,7ODX,0.0
7FB7_8NF_protein,7FB7,0.0
8BTI_RFO_protein,8BTI,0.006156552
6YR2_T1C_protein,6YR2,0.0
7XQZ_FPF_protein,7XQZ,0.0
7PJQ_OWH_protein,7PJQ,0.0
6WTN_RXT_protein,6WTN,0.59210527
7W6F_8I6_protein,7W6F,0.0003628447
7JMV_4NC_protein,7JMV,0.0
6YYO_Q1K_protein,6YYO,0.3065309
7LJN_GTP_protein,7LJN,0.0
7L5F_XNG_protein,7L5F,0.0
7PIH_7QW_protein,7PIH,0.53367347
7K0V_VQP_protein,7K0V,0.1279781
7B2C_TP7_protein,7B2C,0.8343579
7MMH_ZJY_protein,7MMH,0.6770588
6XHT_V2V_protein,6XHT,0.48801368
7A9H_TPP_protein,7A9H,0.0
7NFB_GEN_protein,7NFB,0.98712254
7TH4_FFO_protein,7TH4,0.0
8HFN_XGC_protein,8HFN,0.0
7WY1_D0L_protein,7WY1,0.0
7R6J_2I7_protein,7R6J,0.0005725191
7QGP_DJ8_protein,7QGP,0.2573581
7PL1_SFG_protein,7PL1,0.0225703
7TM6_GPJ_protein,7TM6,0.95902777
7SGV_L30_protein,7SGV,0.5650749
8A2D_KXY_protein,8A2D,0.048161305
7VC5_9SF_protein,7VC5,0.86149585
7AMC_73B_protein,7AMC,0.0
7D0P_1VU_protein,7D0P,0.0
7SIU_9ID_protein,7SIU,0.09504644
7SED_8VD_protein,7SED,0.0
7P2I_MFU_protein,7P2I,0.99854225
7P85_5ZG_protein,7P85,0.0
7BKA_4JC_protein,7BKA,0.0
7XRL_FWK_protein,7XRL,0.0
8C3N_ADP_protein,8C3N,0.0005662514
7UF2_5SP_protein,7UF2,0.0
6YQW_82I_protein,6YQW,0.0
8G0V_YHT_protein,8G0V,0.0
7D6O_MTE_protein,7D6O,0.0
6Z0R_Q4H_protein,6Z0R,0.0
7RUI_7QZ_protein,7RUI,0.0
7BJ6_TVK_protein,7BJ6,0.0
7V14_ORU_protein,7V14,0.7301216
7OKC_VFE_protein,7OKC,0.0
7L03_F9F_protein,7L03,0.9262402
