prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_color_20250812_092411,0.8271837
sarsA_apo,Test_792.pdb_idx_0194_color_20250812_092340,0.71802324
sarsA_apo,Test_887.pdb_idx_0083_color_20250812_092534,1.0
sarsA_apo,Test_940.pdb_idx_0014_color_20250812_092228,0.882948
mersA_apo,Test_814.pdb_idx_0116_color_20250812_092556,0.8542447
sarsA_apo,Test_798.pdb_idx_0169_color_20250812_092332,0.8996328
mersA_apo,Test_781.pdb_idx_0165_color_20250812_092616,0.66140026
sarsA_apo,Test_849.pdb_idx_0134_color_20250812_092307,0.88211745
mersA_apo,Test_783.pdb_idx_0178_color_20250812_092606,0.8228972
mersA_apo,Test_933.pdb_idx_0044_color_20250812_092542,0.8522872
sarsA_apo,Test_822.pdb_idx_0001_color_20250812_092234,0.9348711
sarsA_apo,Test_797.pdb_idx_0098_color_20250812_092319,0.837007
sarsA_apo,Test_841.pdb_idx_0147_color_20250812_092310,0.75180376
sarsA_apo,Test_788.pdb_idx_0185_color_20250812_092327,0.9826325
sarsA_apo,Test_855.pdb_idx_0041_color_20250812_092247,0.9077025
sarsA_apo,Test_952.pdb_idx_0068_color_20250812_092300,0.8212755
mersA_apo,Test_807.pdb_idx_0020_color_20250812_092359,0.471878
sarsA_apo,Test_882.pdb_idx_0086_color_20250812_092314,0.9591549
mersA_apo,Test_811.pdb_idx_0047_color_20250812_092348,0.5138122
sarsA_apo,Test_942.pdb_idx_0094_color_20250812_092259,0.7419355
sarsA_apo,Test_901.pdb_idx_0084_color_20250812_092425,0.9166667
mersA_apo,Test_803.pdb_idx_0095_color_20250812_092423,0.4043442
sarsA_apo,Test_941.pdb_idx_0074_color_20250812_092257,0.61468446
mersA_apo,Test_869.pdb_idx_0079_color_20250812_092423,0.45213228
sarsA_apo,Test_875.pdb_idx_0118_color_20250812_092316,0.9235537
mersA_apo,Test_871.pdb_idx_0013_color_20250812_092345,0.8475936
sarsA_apo,Test_795.pdb_idx_0146_color_20250812_092328,0.8347826
mersA_apo,Test_874.pdb_idx_0122_color_20250812_092602,0.7183281
mersA_apo,Test_932.pdb_idx_0119_color_20250812_092554,0.9049391
mersA_apo,Test_810.pdb_idx_0088_color_20250812_092419,0.38297462
sarsA_apo,Test_872.pdb_idx_0140_color_20250812_092601,0.9910714
sarsA_apo,Test_895.pdb_idx_0166_color_20250812_092330,0.89674634
sarsA_apo,Test_863.pdb_idx_0121_color_20250812_092314,0.87621653
mersA_apo,Test_948.pdb_idx_0163_color_20250812_092603,0.79858655
sarsA_apo,Test_808.pdb_idx_0069_color_20250812_092259,0.9190734
mersA_apo,Test_827.pdb_idx_0128_color_20250812_092448,0.57052404
sarsA_apo,Test_806.pdb_idx_0039_color_20250812_092236,0.9590164
sarsA_apo,Test_853.pdb_idx_0143_color_20250812_092320,0.74171686
mersA_apo,Test_958.pdb_idx_0036_color_20250812_092519,0.7061456
sarsA_apo,Test_912.pdb_idx_0151_color_20250812_092321,0.9648609
mersA_apo,Test_870.pdb_idx_0183_color_20250812_092456,0.4965035
mersA_apo,Test_854.pdb_idx_0078_color_20250812_092537,0.89813626
mersA_apo,Test_796.pdb_idx_0018_color_20250812_092518,0.9249585
sarsA_apo,Test_832.pdb_idx_0089_color_20250812_092304,0.93791944
sarsA_apo,Test_782.pdb_idx_0177_color_20250812_092333,0.82330155
sarsA_apo,Test_957.pdb_idx_0170_color_20250812_092335,0.8831454
sarsA_apo,Test_945.pdb_idx_0026_color_20250812_092233,0.87415826
mersA_apo,Test_773.pdb_idx_0077_color_20250812_092406,0.499499
sarsA_apo,Test_785.pdb_idx_0010_color_20250812_092228,0.75317794
mersA_apo,Test_837.pdb_idx_0145_color_20250812_092442,0.4553407
sarsA_apo,Test_829.pdb_idx_0132_color_20250812_092616,1.0
mersA_apo,Test_900.pdb_idx_0152_color_20250812_092611,0.8726533
sarsA_apo,Test_780.pdb_idx_0181_color_20250812_092449,0.97727275
mersA_apo,Test_856.pdb_idx_0142_color_20250812_092449,0.3674743
sarsA_apo,Test_793.pdb_idx_0167_color_20250812_092335,0.78582317
sarsA_apo,Test_789.pdb_idx_0157_color_20250812_092321,0.9137931
sarsA_apo,Test_956.pdb_idx_0046_color_20250812_092516,0.9347826
mersA_apo,Test_953.pdb_idx_0100_color_20250812_092541,0.92979
mersA_apo,Test_802.pdb_idx_0176_color_20250812_092454,0.38522992
sarsA_apo,Test_775.pdb_idx_0171_color_20250812_092333,0.90753424
sarsA_apo,Test_950.pdb_idx_0101_color_20250812_092300,0.92771083
sarsA_apo,Test_923.pdb_idx_0090_color_20250812_092304,0.8364231
mersA_apo,Test_787.pdb_idx_0080_color_20250812_092411,0.40873015
sarsA_apo,Test_847.pdb_idx_0154_color_20250812_092317,0.9384817
sarsA_apo,Test_920.pdb_idx_0028_color_20250812_092231,0.7762991
mersA_apo,Test_894.pdb_idx_0108_color_20250812_092414,0.8227412
sarsA_apo,Test_848.pdb_idx_0187_color_20250812_092326,0.88017243
sarsA_apo,Test_778.pdb_idx_0065_color_20250812_092303,0.921496
sarsA_apo,Test_931.pdb_idx_0110_color_20250812_092302,0.72865856
sarsA_apo,Test_818.pdb_idx_0067_color_20250812_092312,0.9174365
sarsA_apo,Test_963.pdb_idx_0070_color_20250812_092310,0.86192214
sarsA_apo,Test_861.pdb_idx_0060_color_20250812_092256,0.8331545
sarsA_apo,Test_859.pdb_idx_0031_color_20250812_092238,0.0
mersA_apo,Test_919.pdb_idx_0123_color_20250812_092434,0.32620144
mersA_apo,Test_826.pdb_idx_0049_color_20250812_092350,0.7406915
sarsA_apo,Test_897.pdb_idx_0019_color_20250812_092242,0.9129704
sarsA_apo,Test_820.pdb_idx_0024_color_20250812_092254,0.534894
sarsA_apo,Test_915.pdb_idx_0150_color_20250812_092311,0.9476744
sarsA_apo,Test_835.pdb_idx_0023_color_20250812_092239,0.8187166
mersA_apo,Test_898.pdb_idx_0189_color_20250812_092625,0.90836525
sarsA_apo,Test_839.pdb_idx_0182_color_20250812_092326,0.16884817
sarsA_apo,Test_881.pdb_idx_0007_color_20250812_092236,0.89487517
sarsA_apo,Test_899.pdb_idx_0082_color_20250812_092259,0.99919224
mersA_apo,Test_918.pdb_idx_0179_color_20250812_092453,0.6305679
sarsA_apo,Test_885.pdb_idx_0075_color_20250812_092301,0.87252474
mersA_apo,Test_880.pdb_idx_0087_color_20250812_092544,0.8701623
