prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_combo_20250812_095058,0.8129685
sarsA_apo,Test_792.pdb_idx_0194_combo_20250812_095055,0.6936019
sarsA_apo,Test_887.pdb_idx_0083_combo_20250812_095059,0.9285714
sarsA_apo,Test_940.pdb_idx_0014_combo_20250812_095047,0.8821839
mersA_apo,Test_814.pdb_idx_0116_combo_20250812_095110,0.8785347
sarsA_apo,Test_798.pdb_idx_0169_combo_20250812_095054,0.8996328
mersA_apo,Test_781.pdb_idx_0165_combo_20250812_095103,0.70814735
sarsA_apo,Test_849.pdb_idx_0134_combo_20250812_095052,0.9571033
mersA_apo,Test_783.pdb_idx_0178_combo_20250812_095102,0.7966728
mersA_apo,Test_933.pdb_idx_0044_combo_20250812_095058,0.4010025
sarsA_apo,Test_822.pdb_idx_0001_combo_20250812_095047,0.94285715
sarsA_apo,Test_797.pdb_idx_0098_combo_20250812_095052,0.91290325
sarsA_apo,Test_841.pdb_idx_0147_combo_20250812_095053,0.16193962
sarsA_apo,Test_788.pdb_idx_0185_combo_20250812_095054,0.8572607
sarsA_apo,Test_855.pdb_idx_0041_combo_20250812_095049,0.8953412
sarsA_apo,Test_952.pdb_idx_0068_combo_20250812_095051,0.8887665
mersA_apo,Test_807.pdb_idx_0020_combo_20250812_095105,0.90969455
sarsA_apo,Test_882.pdb_idx_0086_combo_20250812_095051,0.9454993
mersA_apo,Test_811.pdb_idx_0047_combo_20250812_095057,0.39210984
sarsA_apo,Test_942.pdb_idx_0094_combo_20250812_095051,0.7342681
sarsA_apo,Test_901.pdb_idx_0084_combo_20250812_095109,0.88793105
mersA_apo,Test_803.pdb_idx_0095_combo_20250812_095102,0.50332445
sarsA_apo,Test_941.pdb_idx_0074_combo_20250812_095050,0.6737968
mersA_apo,Test_869.pdb_idx_0079_combo_20250812_095059,0.79647803
sarsA_apo,Test_875.pdb_idx_0118_combo_20250812_095052,0.8961039
mersA_apo,Test_871.pdb_idx_0013_combo_20250812_095056,0.78375
sarsA_apo,Test_795.pdb_idx_0146_combo_20250812_095054,0.804038
mersA_apo,Test_874.pdb_idx_0122_combo_20250812_095101,0.5367329
mersA_apo,Test_932.pdb_idx_0119_combo_20250812_095109,0.9069294
mersA_apo,Test_810.pdb_idx_0088_combo_20250812_095109,0.53196347
sarsA_apo,Test_872.pdb_idx_0140_combo_20250812_095110,0.86206895
sarsA_apo,Test_895.pdb_idx_0166_combo_20250812_095054,0.88671374
sarsA_apo,Test_863.pdb_idx_0121_combo_20250812_095052,0.87621653
mersA_apo,Test_948.pdb_idx_0163_combo_20250812_095111,0.8059965
sarsA_apo,Test_808.pdb_idx_0069_combo_20250812_095050,0.9190734
mersA_apo,Test_827.pdb_idx_0128_combo_20250812_095101,0.651751
sarsA_apo,Test_806.pdb_idx_0039_combo_20250812_095048,0.95559704
sarsA_apo,Test_853.pdb_idx_0143_combo_20250812_095054,0.75630677
mersA_apo,Test_958.pdb_idx_0036_combo_20250812_095058,0.7323232
sarsA_apo,Test_912.pdb_idx_0151_combo_20250812_095053,0.9310714
mersA_apo,Test_870.pdb_idx_0183_combo_20250812_095112,0.9457873
mersA_apo,Test_854.pdb_idx_0078_combo_20250812_095107,0.8893603
mersA_apo,Test_796.pdb_idx_0018_combo_20250812_095106,0.9352007
sarsA_apo,Test_832.pdb_idx_0089_combo_20250812_095052,0.7192882
sarsA_apo,Test_782.pdb_idx_0177_combo_20250812_095054,0.65705127
sarsA_apo,Test_957.pdb_idx_0170_combo_20250812_095055,0.7004454
sarsA_apo,Test_945.pdb_idx_0026_combo_20250812_095048,0.99446493
mersA_apo,Test_773.pdb_idx_0077_combo_20250812_095107,0.93415636
sarsA_apo,Test_785.pdb_idx_0010_combo_20250812_095047,0.9073939
mersA_apo,Test_837.pdb_idx_0145_combo_20250812_095102,0.5842391
sarsA_apo,Test_829.pdb_idx_0132_combo_20250812_095112,1.0
mersA_apo,Test_900.pdb_idx_0152_combo_20250812_095103,0.45235804
sarsA_apo,Test_780.pdb_idx_0181_combo_20250812_095113,1.0
mersA_apo,Test_856.pdb_idx_0142_combo_20250812_095111,0.81159824
sarsA_apo,Test_793.pdb_idx_0167_combo_20250812_095055,0.79003024
sarsA_apo,Test_789.pdb_idx_0157_combo_20250812_095053,0.9221039
sarsA_apo,Test_956.pdb_idx_0046_combo_20250812_095057,0.95652175
mersA_apo,Test_953.pdb_idx_0100_combo_20250812_095100,0.5192678
mersA_apo,Test_802.pdb_idx_0176_combo_20250812_095103,0.39450422
sarsA_apo,Test_775.pdb_idx_0171_combo_20250812_095055,0.7856405
sarsA_apo,Test_950.pdb_idx_0101_combo_20250812_095051,0.9218213
sarsA_apo,Test_923.pdb_idx_0090_combo_20250812_095052,0.88882744
mersA_apo,Test_787.pdb_idx_0080_combo_20250812_095059,0.5638145
sarsA_apo,Test_847.pdb_idx_0154_combo_20250812_095053,0.9710708
sarsA_apo,Test_920.pdb_idx_0028_combo_20250812_095048,0.75721455
mersA_apo,Test_894.pdb_idx_0108_combo_20250812_095059,0.75259256
sarsA_apo,Test_848.pdb_idx_0187_combo_20250812_095054,0.59795916
sarsA_apo,Test_778.pdb_idx_0065_combo_20250812_095051,0.9278976
sarsA_apo,Test_931.pdb_idx_0110_combo_20250812_095051,0.9127989
sarsA_apo,Test_818.pdb_idx_0067_combo_20250812_095050,0.76197755
sarsA_apo,Test_963.pdb_idx_0070_combo_20250812_095051,0.86192214
sarsA_apo,Test_861.pdb_idx_0060_combo_20250812_095051,0.8928167
sarsA_apo,Test_859.pdb_idx_0031_combo_20250812_095049,0.0
mersA_apo,Test_919.pdb_idx_0123_combo_20250812_095102,0.5319056
mersA_apo,Test_826.pdb_idx_0049_combo_20250812_095057,0.6976744
sarsA_apo,Test_897.pdb_idx_0019_combo_20250812_095048,0.8368883
sarsA_apo,Test_820.pdb_idx_0024_combo_20250812_095050,0.50981265
sarsA_apo,Test_915.pdb_idx_0150_combo_20250812_095053,0.9341887
sarsA_apo,Test_835.pdb_idx_0023_combo_20250812_095050,0.84709567
mersA_apo,Test_898.pdb_idx_0189_combo_20250812_095113,0.79791665
sarsA_apo,Test_839.pdb_idx_0182_combo_20250812_095054,0.19989489
sarsA_apo,Test_881.pdb_idx_0007_combo_20250812_095049,0.89610815
sarsA_apo,Test_899.pdb_idx_0082_combo_20250812_095050,0.8218475
mersA_apo,Test_918.pdb_idx_0179_combo_20250812_095112,0.71420324
sarsA_apo,Test_885.pdb_idx_0075_combo_20250812_095052,0.93552464
