prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_combo_20250812_091445,0.97927463
sarsA_apo,Test_792.pdb_idx_0194_combo_20250812_091418,0.7138672
sarsA_apo,Test_887.pdb_idx_0083_combo_20250812_091455,1.0
sarsA_apo,Test_940.pdb_idx_0014_combo_20250812_091303,0.8800971
mersA_apo,Test_814.pdb_idx_0116_combo_20250812_091513,0.8785347
sarsA_apo,Test_798.pdb_idx_0169_combo_20250812_091409,0.8996328
mersA_apo,Test_781.pdb_idx_0165_combo_20250812_091536,0.8161209
sarsA_apo,Test_849.pdb_idx_0134_combo_20250812_091342,0.9591932
mersA_apo,Test_783.pdb_idx_0178_combo_20250812_091525,0.8192661
mersA_apo,Test_933.pdb_idx_0044_combo_20250812_091439,0.9012016
sarsA_apo,Test_822.pdb_idx_0001_combo_20250812_091310,0.94931036
sarsA_apo,Test_797.pdb_idx_0098_combo_20250812_091347,0.837007
sarsA_apo,Test_841.pdb_idx_0147_combo_20250812_091346,0.16146298
sarsA_apo,Test_788.pdb_idx_0185_combo_20250812_091400,0.9670932
sarsA_apo,Test_855.pdb_idx_0041_combo_20250812_091321,0.9077025
sarsA_apo,Test_952.pdb_idx_0068_combo_20250812_091336,0.8212755
mersA_apo,Test_807.pdb_idx_0020_combo_20250812_091437,0.9064103
sarsA_apo,Test_882.pdb_idx_0086_combo_20250812_091336,0.84130144
mersA_apo,Test_811.pdb_idx_0047_combo_20250812_091436,0.77910364
sarsA_apo,Test_942.pdb_idx_0094_combo_20250812_091339,0.7419355
sarsA_apo,Test_901.pdb_idx_0084_combo_20250812_091503,0.875
mersA_apo,Test_803.pdb_idx_0095_combo_20250812_091509,0.84501845
sarsA_apo,Test_941.pdb_idx_0074_combo_20250812_091339,0.6737968
mersA_apo,Test_869.pdb_idx_0079_combo_20250812_091500,0.78415453
sarsA_apo,Test_875.pdb_idx_0118_combo_20250812_091347,0.9235537
mersA_apo,Test_871.pdb_idx_0013_combo_20250812_091426,0.8023649
sarsA_apo,Test_795.pdb_idx_0146_combo_20250812_091406,0.91462666
mersA_apo,Test_874.pdb_idx_0122_combo_20250812_091526,0.7183281
mersA_apo,Test_932.pdb_idx_0119_combo_20250812_091517,0.9049391
mersA_apo,Test_810.pdb_idx_0088_combo_20250812_091459,0.55507314
