prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_combo_20250812_094815,0.8490415
sarsA_apo,Test_792.pdb_idx_0194_combo_20250812_094447,0.7950495
sarsA_apo,Test_887.pdb_idx_0083_combo_20250812_094850,0.9396552
sarsA_apo,Test_940.pdb_idx_0014_combo_20250812_094226,0.86052126
mersA_apo,Test_814.pdb_idx_0116_combo_20250812_094639,0.41958332
sarsA_apo,Test_798.pdb_idx_0169_combo_20250812_094422,0.86955243
mersA_apo,Test_781.pdb_idx_0165_combo_20250812_094946,0.82439333
sarsA_apo,Test_849.pdb_idx_0134_combo_20250812_094341,0.9576191
mersA_apo,Test_783.pdb_idx_0178_combo_20250812_094933,0.80925924
mersA_apo,Test_933.pdb_idx_0044_combo_20250812_094808,0.83240396
sarsA_apo,Test_822.pdb_idx_0001_combo_20250812_094254,0.9116667
sarsA_apo,Test_797.pdb_idx_0098_combo_20250812_094340,0.81406605
sarsA_apo,Test_841.pdb_idx_0147_combo_20250812_094350,0.15763324
sarsA_apo,Test_788.pdb_idx_0185_combo_20250812_094422,0.9697248
sarsA_apo,Test_855.pdb_idx_0041_combo_20250812_094300,0.925
sarsA_apo,Test_952.pdb_idx_0068_combo_20250812_094351,0.90166664
mersA_apo,Test_807.pdb_idx_0020_combo_20250812_094800,0.84773016
sarsA_apo,Test_882.pdb_idx_0086_combo_20250812_094346,0.6553899
mersA_apo,Test_811.pdb_idx_0047_combo_20250812_094526,0.536013
sarsA_apo,Test_942.pdb_idx_0094_combo_20250812_094327,0.69131297
sarsA_apo,Test_901.pdb_idx_0084_combo_20250812_094544,0.71875
mersA_apo,Test_803.pdb_idx_0095_combo_20250812_094619,0.3897059
sarsA_apo,Test_941.pdb_idx_0074_combo_20250812_094323,0.7024292
mersA_apo,Test_869.pdb_idx_0079_combo_20250812_094622,0.48381296
sarsA_apo,Test_875.pdb_idx_0118_combo_20250812_094353,0.9081427
mersA_apo,Test_871.pdb_idx_0013_combo_20250812_094454,0.77791464
sarsA_apo,Test_795.pdb_idx_0146_combo_20250812_094422,0.89099526
mersA_apo,Test_874.pdb_idx_0122_combo_20250812_094645,0.56914896
mersA_apo,Test_932.pdb_idx_0119_combo_20250812_094610,0.53861004
mersA_apo,Test_810.pdb_idx_0088_combo_20250812_094858,0.63990587
sarsA_apo,Test_872.pdb_idx_0140_combo_20250812_094903,0.9910714
sarsA_apo,Test_895.pdb_idx_0166_combo_20250812_094410,0.78571427
sarsA_apo,Test_863.pdb_idx_0121_combo_20250812_094414,0.89363635
mersA_apo,Test_948.pdb_idx_0163_combo_20250812_094918,0.8033759
sarsA_apo,Test_808.pdb_idx_0069_combo_20250812_094354,0.8349162
mersA_apo,Test_827.pdb_idx_0128_combo_20250812_094925,0.87918216
sarsA_apo,Test_806.pdb_idx_0039_combo_20250812_094246,0.8502805
sarsA_apo,Test_853.pdb_idx_0143_combo_20250812_094419,0.7773834
mersA_apo,Test_958.pdb_idx_0036_combo_20250812_094754,0.89380825
sarsA_apo,Test_912.pdb_idx_0151_combo_20250812_094408,0.90620595
mersA_apo,Test_870.pdb_idx_0183_combo_20250812_094950,0.9138167
mersA_apo,Test_854.pdb_idx_0078_combo_20250812_094553,0.52123094
mersA_apo,Test_796.pdb_idx_0018_combo_20250812_094513,0.5433859
sarsA_apo,Test_832.pdb_idx_0089_combo_20250812_094332,0.8835264
sarsA_apo,Test_782.pdb_idx_0177_combo_20250812_094427,0.940352
sarsA_apo,Test_957.pdb_idx_0170_combo_20250812_094427,0.8266467
sarsA_apo,Test_945.pdb_idx_0026_combo_20250812_094235,0.8003413
mersA_apo,Test_773.pdb_idx_0077_combo_20250812_094552,0.7234104
sarsA_apo,Test_785.pdb_idx_0010_combo_20250812_094228,0.84895104
mersA_apo,Test_837.pdb_idx_0145_combo_20250812_094941,0.7923077
sarsA_apo,Test_829.pdb_idx_0132_combo_20250812_094645,0.9913793
mersA_apo,Test_900.pdb_idx_0152_combo_20250812_094650,0.68429846
sarsA_apo,Test_780.pdb_idx_0181_combo_20250812_094658,1.0
mersA_apo,Test_856.pdb_idx_0142_combo_20250812_094645,0.38268793
sarsA_apo,Test_793.pdb_idx_0167_combo_20250812_094426,0.76736844
sarsA_apo,Test_789.pdb_idx_0157_combo_20250812_094417,0.67240435
sarsA_apo,Test_956.pdb_idx_0046_combo_20250812_094508,0.8666667
mersA_apo,Test_953.pdb_idx_0100_combo_20250812_094603,0.526479
mersA_apo,Test_802.pdb_idx_0176_combo_20250812_094952,0.84613097
sarsA_apo,Test_775.pdb_idx_0171_combo_20250812_094434,0.8487687
sarsA_apo,Test_950.pdb_idx_0101_combo_20250812_094322,0.9661687
sarsA_apo,Test_923.pdb_idx_0090_combo_20250812_094400,0.8458198
mersA_apo,Test_787.pdb_idx_0080_combo_20250812_094835,0.8125
sarsA_apo,Test_847.pdb_idx_0154_combo_20250812_094357,0.96631205
sarsA_apo,Test_920.pdb_idx_0028_combo_20250812_094237,0.7537175
mersA_apo,Test_894.pdb_idx_0108_combo_20250812_094552,0.83460367
sarsA_apo,Test_848.pdb_idx_0187_combo_20250812_094419,0.20366599
sarsA_apo,Test_778.pdb_idx_0065_combo_20250812_094315,0.8214286
sarsA_apo,Test_931.pdb_idx_0110_combo_20250812_094336,0.8594793
sarsA_apo,Test_818.pdb_idx_0067_combo_20250812_094344,0.8870499
sarsA_apo,Test_963.pdb_idx_0070_combo_20250812_094339,0.85518473
sarsA_apo,Test_861.pdb_idx_0060_combo_20250812_094334,0.7141125
sarsA_apo,Test_859.pdb_idx_0031_combo_20250812_094249,0.0
mersA_apo,Test_919.pdb_idx_0123_combo_20250812_094941,0.68445694
mersA_apo,Test_826.pdb_idx_0049_combo_20250812_094504,0.6859717
sarsA_apo,Test_897.pdb_idx_0019_combo_20250812_094253,0.86747384
sarsA_apo,Test_820.pdb_idx_0024_combo_20250812_094305,0.8115183
sarsA_apo,Test_915.pdb_idx_0150_combo_20250812_094350,0.95659435
sarsA_apo,Test_835.pdb_idx_0023_combo_20250812_094312,0.8031388
mersA_apo,Test_898.pdb_idx_0189_combo_20250812_094719,0.40407917
sarsA_apo,Test_839.pdb_idx_0182_combo_20250812_094416,0.44956332
sarsA_apo,Test_881.pdb_idx_0007_combo_20250812_094301,0.90187824
sarsA_apo,Test_899.pdb_idx_0082_combo_20250812_094314,0.97448164
mersA_apo,Test_918.pdb_idx_0179_combo_20250812_094705,0.69029015
sarsA_apo,Test_885.pdb_idx_0075_combo_20250812_094334,0.81728536
mersA_apo,Test_880.pdb_idx_0087_combo_20250812_094600,0.67992216
sarsA_apo,Test_935.pdb_idx_0172_combo_20250812_094418,0.9248634
sarsA_apo,Test_891.pdb_idx_0052_combo_20250812_094254,0.7392516
sarsA_apo,Test_878.pdb_idx_0141_combo_20250812_094345,0.8129549
mersA_apo,Test_770.pdb_idx_0188_combo_20250812_094715,0.5492685
sarsA_apo,Test_879.pdb_idx_0126_combo_20250812_094651,1.0
sarsA_apo,Test_784.pdb_idx_0129_combo_20250812_094342,0.9400353
mersA_apo,Test_937.pdb_idx_0168_combo_20250812_094705,0.3498613
sarsA_apo,Test_890.pdb_idx_0191_combo_20250812_094423,0.8046022
sarsA_apo,Test_934.pdb_idx_0109_combo_20250812_094612,0.91071427
sarsA_apo,Test_960.pdb_idx_0058_combo_20250812_094302,0.7329369
sarsA_apo,Test_804.pdb_idx_0005_combo_20250812_094238,0.6984536
sarsA_apo,Test_772.pdb_idx_0025_combo_20250812_094308,0.8218263
mersA_apo,Test_813.pdb_idx_0063_combo_20250812_094756,0.65848213
sarsA_apo,Test_836.pdb_idx_0029_combo_20250812_094244,0.80374396
mersA_apo,Test_843.pdb_idx_0114_combo_20250812_094612,0.4522192
sarsA_apo,Test_926.pdb_idx_0190_combo_20250812_094428,0.8698811
mersA_apo,Test_812.pdb_idx_0148_combo_20250812_094643,0.45483577
