prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_combo_20250812_094005,0.7058205
sarsA_apo,Test_792.pdb_idx_0194_combo_20250812_093938,0.7287805
sarsA_apo,Test_887.pdb_idx_0083_combo_20250812_094128,0.91071427
sarsA_apo,Test_940.pdb_idx_0014_combo_20250812_093827,0.8822674
mersA_apo,Test_814.pdb_idx_0116_combo_20250812_094030,0.39413264
sarsA_apo,Test_798.pdb_idx_0169_combo_20250812_093922,0.8615752
mersA_apo,Test_781.pdb_idx_0165_combo_20250812_094051,0.6725998
sarsA_apo,Test_849.pdb_idx_0134_combo_20250812_093903,0.92518246
mersA_apo,Test_783.pdb_idx_0178_combo_20250812_094200,0.7897623
mersA_apo,Test_933.pdb_idx_0044_combo_20250812_094128,0.8018257
sarsA_apo,Test_822.pdb_idx_0001_combo_20250812_093833,0.952251
sarsA_apo,Test_797.pdb_idx_0098_combo_20250812_093914,0.80506116
sarsA_apo,Test_841.pdb_idx_0147_combo_20250812_093907,0.6893204
sarsA_apo,Test_788.pdb_idx_0185_combo_20250812_093924,0.7054908
sarsA_apo,Test_855.pdb_idx_0041_combo_20250812_093854,0.8745149
sarsA_apo,Test_952.pdb_idx_0068_combo_20250812_093853,0.8218816
mersA_apo,Test_807.pdb_idx_0020_combo_20250812_093947,0.44408202
sarsA_apo,Test_882.pdb_idx_0086_combo_20250812_093902,0.82746476
mersA_apo,Test_811.pdb_idx_0047_combo_20250812_094113,0.7857568
sarsA_apo,Test_942.pdb_idx_0094_combo_20250812_093857,0.72648686
sarsA_apo,Test_901.pdb_idx_0084_combo_20250812_094127,0.79310346
mersA_apo,Test_803.pdb_idx_0095_combo_20250812_094148,0.8041899
sarsA_apo,Test_941.pdb_idx_0074_combo_20250812_093858,0.6093567
mersA_apo,Test_869.pdb_idx_0079_combo_20250812_094150,0.76793724
sarsA_apo,Test_875.pdb_idx_0118_combo_20250812_093908,0.87664473
mersA_apo,Test_871.pdb_idx_0013_combo_20250812_093945,0.8083039
sarsA_apo,Test_795.pdb_idx_0146_combo_20250812_093930,0.90957445
mersA_apo,Test_874.pdb_idx_0122_combo_20250812_094146,0.7115784
mersA_apo,Test_932.pdb_idx_0119_combo_20250812_094143,0.8871951
mersA_apo,Test_810.pdb_idx_0088_combo_20250812_094132,0.59777105
sarsA_apo,Test_872.pdb_idx_0140_combo_20250812_094149,0.9814815
sarsA_apo,Test_895.pdb_idx_0166_combo_20250812_093923,0.8892236
sarsA_apo,Test_863.pdb_idx_0121_combo_20250812_093924,0.8751508
mersA_apo,Test_948.pdb_idx_0163_combo_20250812_094157,0.7844523
sarsA_apo,Test_808.pdb_idx_0069_combo_20250812_093857,0.9011834
mersA_apo,Test_827.pdb_idx_0128_combo_20250812_094039,0.606872
sarsA_apo,Test_806.pdb_idx_0039_combo_20250812_093837,0.96684057
sarsA_apo,Test_853.pdb_idx_0143_combo_20250812_093917,0.7640845
mersA_apo,Test_958.pdb_idx_0036_combo_20250812_094003,0.6975138
sarsA_apo,Test_912.pdb_idx_0151_combo_20250812_093915,0.9644949
mersA_apo,Test_870.pdb_idx_0183_combo_20250812_094050,0.48156342
mersA_apo,Test_854.pdb_idx_0078_combo_20250812_094012,0.4863897
mersA_apo,Test_796.pdb_idx_0018_combo_20250812_094111,0.63108975
sarsA_apo,Test_832.pdb_idx_0089_combo_20250812_093905,0.9220608
sarsA_apo,Test_782.pdb_idx_0177_combo_20250812_093928,0.80676603
sarsA_apo,Test_957.pdb_idx_0170_combo_20250812_093925,0.88639283
sarsA_apo,Test_945.pdb_idx_0026_combo_20250812_093831,0.84322035
mersA_apo,Test_773.pdb_idx_0077_combo_20250812_094125,0.90456986
sarsA_apo,Test_785.pdb_idx_0010_combo_20250812_093829,0.70602834
mersA_apo,Test_837.pdb_idx_0145_combo_20250812_094208,0.90335053
sarsA_apo,Test_829.pdb_idx_0132_combo_20250812_094043,0.95689654
mersA_apo,Test_900.pdb_idx_0152_combo_20250812_094205,0.8578554
sarsA_apo,Test_780.pdb_idx_0181_combo_20250812_094208,1.0
mersA_apo,Test_856.pdb_idx_0142_combo_20250812_094203,0.9015432
sarsA_apo,Test_793.pdb_idx_0167_combo_20250812_093924,0.8051321
sarsA_apo,Test_789.pdb_idx_0157_combo_20250812_093919,0.7602459
sarsA_apo,Test_956.pdb_idx_0046_combo_20250812_093956,0.96
mersA_apo,Test_953.pdb_idx_0100_combo_20250812_094026,0.41597164
mersA_apo,Test_802.pdb_idx_0176_combo_20250812_094214,0.90699875
sarsA_apo,Test_775.pdb_idx_0171_combo_20250812_093927,0.88754225
sarsA_apo,Test_950.pdb_idx_0101_combo_20250812_093856,0.65625
sarsA_apo,Test_923.pdb_idx_0090_combo_20250812_093915,0.83530676
mersA_apo,Test_787.pdb_idx_0080_combo_20250812_094129,0.7531792
sarsA_apo,Test_847.pdb_idx_0154_combo_20250812_093911,0.93524873
sarsA_apo,Test_920.pdb_idx_0028_combo_20250812_093832,0.7718509
mersA_apo,Test_894.pdb_idx_0108_combo_20250812_094010,0.68584377
sarsA_apo,Test_848.pdb_idx_0187_combo_20250812_093925,0.4580706
sarsA_apo,Test_778.pdb_idx_0065_combo_20250812_093851,0.9496689
sarsA_apo,Test_931.pdb_idx_0110_combo_20250812_093900,0.70316714
sarsA_apo,Test_818.pdb_idx_0067_combo_20250812_093856,0.920336
