prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_shape_20250812_092007,0.8292042
sarsA_apo,Test_792.pdb_idx_0194_shape_20250812_091941,0.7138672
sarsA_apo,Test_887.pdb_idx_0083_shape_20250812_092147,1.0
sarsA_apo,Test_940.pdb_idx_0014_shape_20250812_091826,0.828125
mersA_apo,Test_814.pdb_idx_0116_shape_20250812_092154,0.72203946
sarsA_apo,Test_798.pdb_idx_0169_shape_20250812_091925,0.8983871
mersA_apo,Test_781.pdb_idx_0165_shape_20250812_092214,0.8161209
sarsA_apo,Test_849.pdb_idx_0134_shape_20250812_091906,0.9591932
mersA_apo,Test_783.pdb_idx_0178_shape_20250812_092208,0.7633215
mersA_apo,Test_933.pdb_idx_0044_shape_20250812_092147,0.7595486
sarsA_apo,Test_822.pdb_idx_0001_shape_20250812_091833,0.94931036
sarsA_apo,Test_797.pdb_idx_0098_shape_20250812_091913,0.91290325
sarsA_apo,Test_841.pdb_idx_0147_shape_20250812_091910,0.21290323
sarsA_apo,Test_788.pdb_idx_0185_shape_20250812_091925,0.9670932
sarsA_apo,Test_855.pdb_idx_0041_shape_20250812_091843,0.90226066
sarsA_apo,Test_952.pdb_idx_0068_shape_20250812_091859,0.8427864
mersA_apo,Test_807.pdb_idx_0020_shape_20250812_092113,0.9064103
sarsA_apo,Test_882.pdb_idx_0086_shape_20250812_091901,0.6990741
mersA_apo,Test_811.pdb_idx_0047_shape_20250812_091951,0.37458333
sarsA_apo,Test_942.pdb_idx_0094_shape_20250812_091903,0.69544846
sarsA_apo,Test_901.pdb_idx_0084_shape_20250812_092012,0.75
mersA_apo,Test_803.pdb_idx_0095_shape_20250812_092025,0.41622034
sarsA_apo,Test_941.pdb_idx_0074_shape_20250812_091855,0.6737968
mersA_apo,Test_869.pdb_idx_0079_shape_20250812_092034,0.14671281
sarsA_apo,Test_875.pdb_idx_0118_shape_20250812_091911,0.92252064
mersA_apo,Test_871.pdb_idx_0013_shape_20250812_092106,0.5878962
sarsA_apo,Test_795.pdb_idx_0146_shape_20250812_091932,0.91462666
mersA_apo,Test_874.pdb_idx_0122_shape_20250812_092159,0.7285862
mersA_apo,Test_932.pdb_idx_0119_shape_20250812_092152,0.9070081
mersA_apo,Test_810.pdb_idx_0088_shape_20250812_092149,0.55507314
sarsA_apo,Test_872.pdb_idx_0140_shape_20250812_092037,0.0
sarsA_apo,Test_895.pdb_idx_0166_shape_20250812_091921,0.89674634
sarsA_apo,Test_863.pdb_idx_0121_shape_20250812_091913,0.904563
mersA_apo,Test_948.pdb_idx_0163_shape_20250812_092041,0.78324467
sarsA_apo,Test_808.pdb_idx_0069_shape_20250812_091909,0.8776102
mersA_apo,Test_827.pdb_idx_0128_shape_20250812_092037,0.3688951
sarsA_apo,Test_806.pdb_idx_0039_shape_20250812_091835,0.95420974
sarsA_apo,Test_853.pdb_idx_0143_shape_20250812_091920,0.8700453
mersA_apo,Test_958.pdb_idx_0036_shape_20250812_092117,0.7719298
sarsA_apo,Test_912.pdb_idx_0151_shape_20250812_091918,0.96350366
mersA_apo,Test_870.pdb_idx_0183_shape_20250812_092216,0.9484072
mersA_apo,Test_854.pdb_idx_0078_shape_20250812_092128,0.8666008
mersA_apo,Test_796.pdb_idx_0018_shape_20250812_092115,0.8725329
sarsA_apo,Test_832.pdb_idx_0089_shape_20250812_091908,0.93791944
sarsA_apo,Test_782.pdb_idx_0177_shape_20250812_091930,0.82330155
sarsA_apo,Test_957.pdb_idx_0170_shape_20250812_091926,0.8831454
sarsA_apo,Test_945.pdb_idx_0026_shape_20250812_091829,0.8853093
mersA_apo,Test_773.pdb_idx_0077_shape_20250812_092129,0.9363885
sarsA_apo,Test_785.pdb_idx_0010_shape_20250812_091828,0.90684134
mersA_apo,Test_837.pdb_idx_0145_shape_20250812_092040,0.18616262
sarsA_apo,Test_829.pdb_idx_0132_shape_20250812_092215,0.9913793
mersA_apo,Test_900.pdb_idx_0152_shape_20250812_092216,0.7159864
sarsA_apo,Test_780.pdb_idx_0181_shape_20250812_092215,1.0
mersA_apo,Test_856.pdb_idx_0142_shape_20250812_092053,0.4023467
sarsA_apo,Test_793.pdb_idx_0167_shape_20250812_091931,0.8023069
sarsA_apo,Test_789.pdb_idx_0157_shape_20250812_091923,0.78961587
sarsA_apo,Test_956.pdb_idx_0046_shape_20250812_092121,0.9673913
mersA_apo,Test_953.pdb_idx_0100_shape_20250812_092019,0.5528101
mersA_apo,Test_802.pdb_idx_0176_shape_20250812_092221,0.932338
sarsA_apo,Test_775.pdb_idx_0171_shape_20250812_091931,0.7687892
