prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_combo_20250812_092815,0.82481205
sarsA_apo,Test_792.pdb_idx_0194_combo_20250812_092746,0.71362305
sarsA_apo,Test_887.pdb_idx_0083_combo_20250812_092818,0.96428573
sarsA_apo,Test_940.pdb_idx_0014_combo_20250812_092634,0.8796296
mersA_apo,Test_814.pdb_idx_0116_combo_20250812_093000,0.8791881
sarsA_apo,Test_798.pdb_idx_0169_combo_20250812_092738,0.8993268
mersA_apo,Test_781.pdb_idx_0165_combo_20250812_092857,0.6849727
sarsA_apo,Test_849.pdb_idx_0134_combo_20250812_092710,0.95903164
mersA_apo,Test_783.pdb_idx_0178_combo_20250812_093011,0.8104396
mersA_apo,Test_933.pdb_idx_0044_combo_20250812_092948,0.9015354
sarsA_apo,Test_822.pdb_idx_0001_combo_20250812_092639,0.94979227
sarsA_apo,Test_797.pdb_idx_0098_combo_20250812_092718,0.83661646
sarsA_apo,Test_841.pdb_idx_0147_combo_20250812_092717,0.15929204
sarsA_apo,Test_788.pdb_idx_0185_combo_20250812_092733,0.96539164
sarsA_apo,Test_855.pdb_idx_0041_combo_20250812_092650,0.9073705
sarsA_apo,Test_952.pdb_idx_0068_combo_20250812_092715,0.8213904
mersA_apo,Test_807.pdb_idx_0020_combo_20250812_092757,0.4616464
sarsA_apo,Test_882.pdb_idx_0086_combo_20250812_092718,0.84130144
mersA_apo,Test_811.pdb_idx_0047_combo_20250812_092924,0.6926092
sarsA_apo,Test_942.pdb_idx_0094_combo_20250812_092703,0.74263674
sarsA_apo,Test_901.pdb_idx_0084_combo_20250812_092939,0.875
mersA_apo,Test_803.pdb_idx_0095_combo_20250812_093014,0.84563345
sarsA_apo,Test_941.pdb_idx_0074_combo_20250812_092659,0.67413104
mersA_apo,Test_869.pdb_idx_0079_combo_20250812_093004,0.78415453
sarsA_apo,Test_875.pdb_idx_0118_combo_20250812_092715,0.9235537
mersA_apo,Test_871.pdb_idx_0013_combo_20250812_092912,0.80508476
sarsA_apo,Test_795.pdb_idx_0146_combo_20250812_092737,0.9153325
mersA_apo,Test_874.pdb_idx_0122_combo_20250812_092835,0.40222305
mersA_apo,Test_932.pdb_idx_0119_combo_20250812_092954,0.9039242
mersA_apo,Test_810.pdb_idx_0088_combo_20250812_092821,0.38385978
sarsA_apo,Test_872.pdb_idx_0140_combo_20250812_093002,1.0
sarsA_apo,Test_895.pdb_idx_0166_combo_20250812_092732,0.9041777
sarsA_apo,Test_863.pdb_idx_0121_combo_20250812_092726,0.86424243
mersA_apo,Test_948.pdb_idx_0163_combo_20250812_092845,0.82650274
sarsA_apo,Test_808.pdb_idx_0069_combo_20250812_092705,0.9047619
mersA_apo,Test_827.pdb_idx_0128_combo_20250812_093013,0.785253
sarsA_apo,Test_806.pdb_idx_0039_combo_20250812_092642,0.95468056
sarsA_apo,Test_853.pdb_idx_0143_combo_20250812_092727,0.7407129
mersA_apo,Test_958.pdb_idx_0036_combo_20250812_092811,0.5996055
sarsA_apo,Test_912.pdb_idx_0151_combo_20250812_092729,0.9630848
mersA_apo,Test_870.pdb_idx_0183_combo_20250812_093026,0.9397507
mersA_apo,Test_854.pdb_idx_0078_combo_20250812_092821,0.49759385
mersA_apo,Test_796.pdb_idx_0018_combo_20250812_092921,0.9261745
sarsA_apo,Test_832.pdb_idx_0089_combo_20250812_092715,0.93197054
sarsA_apo,Test_782.pdb_idx_0177_combo_20250812_092738,0.84571254
sarsA_apo,Test_957.pdb_idx_0170_combo_20250812_092733,0.8869048
sarsA_apo,Test_945.pdb_idx_0026_combo_20250812_092638,0.8825043
mersA_apo,Test_773.pdb_idx_0077_combo_20250812_092824,0.48688194
sarsA_apo,Test_785.pdb_idx_0010_combo_20250812_092634,0.90938866
mersA_apo,Test_837.pdb_idx_0145_combo_20250812_092848,0.44102913
sarsA_apo,Test_829.pdb_idx_0132_combo_20250812_092842,1.0
mersA_apo,Test_900.pdb_idx_0152_combo_20250812_093023,0.87296623
sarsA_apo,Test_780.pdb_idx_0181_combo_20250812_093022,1.0
mersA_apo,Test_856.pdb_idx_0142_combo_20250812_093010,0.8762285
sarsA_apo,Test_793.pdb_idx_0167_combo_20250812_092734,0.7858596
sarsA_apo,Test_789.pdb_idx_0157_combo_20250812_092728,0.7924188
sarsA_apo,Test_956.pdb_idx_0046_combo_20250812_092804,0.95652175
mersA_apo,Test_953.pdb_idx_0100_combo_20250812_092825,0.52473325
mersA_apo,Test_802.pdb_idx_0176_combo_20250812_092902,0.38594276
sarsA_apo,Test_775.pdb_idx_0171_combo_20250812_092739,0.7682863
sarsA_apo,Test_950.pdb_idx_0101_combo_20250812_092706,0.9319757
sarsA_apo,Test_923.pdb_idx_0090_combo_20250812_092716,0.8365071
mersA_apo,Test_787.pdb_idx_0080_combo_20250812_092938,0.7479769
sarsA_apo,Test_847.pdb_idx_0154_combo_20250812_092725,0.94143355
sarsA_apo,Test_920.pdb_idx_0028_combo_20250812_092636,0.78236043
mersA_apo,Test_894.pdb_idx_0108_combo_20250812_092941,0.9592014
sarsA_apo,Test_848.pdb_idx_0187_combo_20250812_092734,0.59795916
sarsA_apo,Test_778.pdb_idx_0065_combo_20250812_092657,0.95033115
sarsA_apo,Test_931.pdb_idx_0110_combo_20250812_092707,0.8753453
sarsA_apo,Test_818.pdb_idx_0067_combo_20250812_092718,0.9175317
sarsA_apo,Test_963.pdb_idx_0070_combo_20250812_092713,0.8607403
sarsA_apo,Test_861.pdb_idx_0060_combo_20250812_092707,0.70342666
sarsA_apo,Test_859.pdb_idx_0031_combo_20250812_092646,0.0
mersA_apo,Test_919.pdb_idx_0123_combo_20250812_093011,0.5998108
mersA_apo,Test_826.pdb_idx_0049_combo_20250812_092754,0.73367345
sarsA_apo,Test_897.pdb_idx_0019_combo_20250812_092647,0.9129704
sarsA_apo,Test_820.pdb_idx_0024_combo_20250812_092659,0.38551572
sarsA_apo,Test_915.pdb_idx_0150_combo_20250812_092720,0.9477612
sarsA_apo,Test_835.pdb_idx_0023_combo_20250812_092646,0.81891024
