prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_color_20250812_092935,0.9794939
sarsA_apo,Test_792.pdb_idx_0194_color_20250812_092746,0.71362305
sarsA_apo,Test_887.pdb_idx_0083_color_20250812_092818,0.96428573
sarsA_apo,Test_940.pdb_idx_0014_color_20250812_092634,0.8796296
mersA_apo,Test_814.pdb_idx_0116_color_20250812_093000,0.8791881
sarsA_apo,Test_798.pdb_idx_0169_color_20250812_092738,0.8993268
mersA_apo,Test_781.pdb_idx_0165_color_20250812_093025,0.42906976
sarsA_apo,Test_849.pdb_idx_0134_color_20250812_092710,0.95903164
mersA_apo,Test_783.pdb_idx_0178_color_20250812_093011,0.8104396
mersA_apo,Test_933.pdb_idx_0044_color_20250812_092948,0.9015354
sarsA_apo,Test_822.pdb_idx_0001_color_20250812_092639,0.94979227
sarsA_apo,Test_797.pdb_idx_0098_color_20250812_092718,0.83661646
sarsA_apo,Test_841.pdb_idx_0147_color_20250812_092717,0.15929204
sarsA_apo,Test_788.pdb_idx_0185_color_20250812_092733,0.96539164
sarsA_apo,Test_855.pdb_idx_0041_color_20250812_092650,0.9073705
sarsA_apo,Test_952.pdb_idx_0068_color_20250812_092715,0.8213904
mersA_apo,Test_807.pdb_idx_0020_color_20250812_092918,0.9044118
sarsA_apo,Test_882.pdb_idx_0086_color_20250812_092718,0.84130144
mersA_apo,Test_811.pdb_idx_0047_color_20250812_092924,0.6926092
sarsA_apo,Test_942.pdb_idx_0094_color_20250812_092703,0.74263674
sarsA_apo,Test_901.pdb_idx_0084_color_20250812_092939,0.875
mersA_apo,Test_803.pdb_idx_0095_color_20250812_092849,0.37407407
sarsA_apo,Test_941.pdb_idx_0074_color_20250812_092659,0.67413104
mersA_apo,Test_869.pdb_idx_0079_color_20250812_093004,0.78415453
sarsA_apo,Test_875.pdb_idx_0118_color_20250812_092715,0.9235537
mersA_apo,Test_871.pdb_idx_0013_color_20250812_092749,0.78369385
sarsA_apo,Test_795.pdb_idx_0146_color_20250812_092737,0.9153325
mersA_apo,Test_874.pdb_idx_0122_color_20250812_092957,0.719139
mersA_apo,Test_932.pdb_idx_0119_color_20250812_092839,0.52380955
mersA_apo,Test_810.pdb_idx_0088_color_20250812_092821,0.38385978
sarsA_apo,Test_872.pdb_idx_0140_color_20250812_092841,1.0
sarsA_apo,Test_895.pdb_idx_0166_color_20250812_092732,0.9041777
sarsA_apo,Test_863.pdb_idx_0121_color_20250812_092726,0.86424243
mersA_apo,Test_948.pdb_idx_0163_color_20250812_092845,0.82650274
sarsA_apo,Test_808.pdb_idx_0069_color_20250812_092705,0.9047619
mersA_apo,Test_827.pdb_idx_0128_color_20250812_092842,0.40067407
sarsA_apo,Test_806.pdb_idx_0039_color_20250812_092642,0.95468056
sarsA_apo,Test_853.pdb_idx_0143_color_20250812_092727,0.7407129
mersA_apo,Test_958.pdb_idx_0036_color_20250812_092921,0.8635762
sarsA_apo,Test_912.pdb_idx_0151_color_20250812_092729,0.9630848
mersA_apo,Test_870.pdb_idx_0183_color_20250812_092901,0.49974924
mersA_apo,Test_854.pdb_idx_0078_color_20250812_092821,0.49759385
mersA_apo,Test_796.pdb_idx_0018_color_20250812_092921,0.9261745
sarsA_apo,Test_832.pdb_idx_0089_color_20250812_092715,0.93197054
sarsA_apo,Test_782.pdb_idx_0177_color_20250812_092738,0.84571254
sarsA_apo,Test_957.pdb_idx_0170_color_20250812_092733,0.8869048
sarsA_apo,Test_945.pdb_idx_0026_color_20250812_092638,0.8825043
mersA_apo,Test_773.pdb_idx_0077_color_20250812_092937,0.9367305
sarsA_apo,Test_785.pdb_idx_0010_color_20250812_092634,0.90938866
mersA_apo,Test_837.pdb_idx_0145_color_20250812_092848,0.44102913
sarsA_apo,Test_829.pdb_idx_0132_color_20250812_092842,1.0
mersA_apo,Test_900.pdb_idx_0152_color_20250812_093023,0.87296623
sarsA_apo,Test_780.pdb_idx_0181_color_20250812_092856,1.0
mersA_apo,Test_856.pdb_idx_0142_color_20250812_092852,0.3811094
sarsA_apo,Test_793.pdb_idx_0167_color_20250812_092734,0.7858596
sarsA_apo,Test_789.pdb_idx_0157_color_20250812_092728,0.7924188
sarsA_apo,Test_956.pdb_idx_0046_color_20250812_092804,0.95652175
mersA_apo,Test_953.pdb_idx_0100_color_20250812_092825,0.52473325
mersA_apo,Test_802.pdb_idx_0176_color_20250812_092902,0.38594276
sarsA_apo,Test_775.pdb_idx_0171_color_20250812_092739,0.7682863
sarsA_apo,Test_950.pdb_idx_0101_color_20250812_092706,0.9319757
sarsA_apo,Test_923.pdb_idx_0090_color_20250812_092716,0.8365071
mersA_apo,Test_787.pdb_idx_0080_color_20250812_092938,0.7479769
sarsA_apo,Test_847.pdb_idx_0154_color_20250812_092725,0.94143355
sarsA_apo,Test_920.pdb_idx_0028_color_20250812_092636,0.78236043
mersA_apo,Test_894.pdb_idx_0108_color_20250812_092821,0.80657494
sarsA_apo,Test_848.pdb_idx_0187_color_20250812_092734,0.59795916
sarsA_apo,Test_778.pdb_idx_0065_color_20250812_092657,0.95033115
sarsA_apo,Test_931.pdb_idx_0110_color_20250812_092707,0.8753453
sarsA_apo,Test_818.pdb_idx_0067_color_20250812_092718,0.9175317
sarsA_apo,Test_963.pdb_idx_0070_color_20250812_092713,0.8607403
sarsA_apo,Test_861.pdb_idx_0060_color_20250812_092707,0.70342666
sarsA_apo,Test_859.pdb_idx_0031_color_20250812_092646,0.0
mersA_apo,Test_919.pdb_idx_0123_color_20250812_092838,0.3248493
mersA_apo,Test_826.pdb_idx_0049_color_20250812_092754,0.73367345
sarsA_apo,Test_897.pdb_idx_0019_color_20250812_092647,0.9129704
sarsA_apo,Test_820.pdb_idx_0024_color_20250812_092659,0.38551572
sarsA_apo,Test_915.pdb_idx_0150_color_20250812_092720,0.9477612
sarsA_apo,Test_835.pdb_idx_0023_color_20250812_092646,0.81891024
mersA_apo,Test_898.pdb_idx_0189_color_20250812_093028,0.894402
sarsA_apo,Test_839.pdb_idx_0182_color_20250812_092731,0.19640364
sarsA_apo,Test_881.pdb_idx_0007_color_20250812_092643,0.89295125
sarsA_apo,Test_899.pdb_idx_0082_color_20250812_092702,1.0
mersA_apo,Test_918.pdb_idx_0179_color_20250812_093019,0.9095238
sarsA_apo,Test_885.pdb_idx_0075_color_20250812_092703,0.8725186
mersA_apo,Test_880.pdb_idx_0087_color_20250812_092814,0.45508555
sarsA_apo,Test_935.pdb_idx_0172_color_20250812_092736,0.97400284
sarsA_apo,Test_891.pdb_idx_0052_color_20250812_092646,0.9211382
sarsA_apo,Test_878.pdb_idx_0141_color_20250812_092717,0.82416785
mersA_apo,Test_770.pdb_idx_0188_color_20250812_093023,0.75098234
sarsA_apo,Test_879.pdb_idx_0126_color_20250812_093007,0.9655172
sarsA_apo,Test_784.pdb_idx_0129_color_20250812_092713,0.8968804
mersA_apo,Test_937.pdb_idx_0168_color_20250812_092855,0.37678573
sarsA_apo,Test_890.pdb_idx_0191_color_20250812_092731,0.77975273
sarsA_apo,Test_934.pdb_idx_0109_color_20250812_092954,1.0
sarsA_apo,Test_960.pdb_idx_0058_color_20250812_092651,0.1479442
sarsA_apo,Test_804.pdb_idx_0005_color_20250812_092643,0.93609273
sarsA_apo,Test_772.pdb_idx_0025_color_20250812_092655,0.834962
mersA_apo,Test_813.pdb_idx_0063_color_20250812_092922,0.67122394
sarsA_apo,Test_836.pdb_idx_0029_color_20250812_092642,0.94640523
mersA_apo,Test_843.pdb_idx_0114_color_20250812_092949,0.9050955
sarsA_apo,Test_926.pdb_idx_0190_color_20250812_092737,0.91374665
mersA_apo,Test_812.pdb_idx_0148_color_20250812_092859,0.44731978
sarsA_apo,Test_860.pdb_idx_0158_color_20250812_092721,0.9161238
mersA_apo,Test_805.pdb_idx_0106_color_20250812_092943,0.7988946
sarsA_apo,Test_888.pdb_idx_0022_color_20250812_092654,0.8958595
mersA_apo,Test_907.pdb_idx_0155_color_20250812_093021,0.91744655
sarsA_apo,Test_801.pdb_idx_0076_color_20250812_092700,0.75780034
sarsA_apo,Test_930.pdb_idx_0040_color_20250812_092702,0.93829787
mersA_apo,Test_873.pdb_idx_0164_color_20250812_092845,0.7319103
mersA_apo,Test_831.pdb_idx_0072_color_20250812_092943,0.8701338
mersA_apo,Test_911.pdb_idx_0103_color_20250812_092835,0.444826
sarsA_apo,Test_850.pdb_idx_0016_color_20250812_092656,0.80277187
sarsA_apo,Test_868.pdb_idx_0184_color_20250812_092900,0.95535713
mersA_apo,Test_896.pdb_idx_0073_color_20250812_093004,0.86293006
mersA_apo,Test_939.pdb_idx_0124_color_20250812_092841,0.5444701
sarsA_apo,Test_947.pdb_idx_0033_color_20250812_092637,0.17182891
sarsA_apo,Test_867.pdb_idx_0131_color_20250812_092722,0.89787704
sarsA_apo,Test_883.pdb_idx_0104_color_20250812_092711,0.8488064
sarsA_apo,Test_944.pdb_idx_0009_color_20250812_092639,0.84041876
mersA_apo,Test_905.pdb_idx_0130_color_20250812_093013,0.6994135
mersA_apo,Test_833.pdb_idx_0064_color_20250812_092931,0.65942514
sarsA_apo,Test_821.pdb_idx_0156_color_20250812_092725,0.9245661
sarsA_apo,Test_786.pdb_idx_0015_color_20250812_092652,0.9234417
mersA_apo,Test_886.pdb_idx_0159_color_20250812_092845,0.82242227
sarsA_apo,Test_857.pdb_idx_0037_color_20250812_092651,0.9014252
sarsA_apo,Test_892.pdb_idx_0091_color_20250812_092707,0.94424963
mersA_apo,Test_838.pdb_idx_0042_color_20250812_092917,0.76735294
sarsA_apo,Test_865.pdb_idx_0050_color_20250812_092649,0.80370605
mersA_apo,Test_817.pdb_idx_0038_color_20250812_092925,0.8877858
mersA_apo,Test_921.pdb_idx_0004_color_20250812_092759,0.48265895
sarsA_apo,Test_946.pdb_idx_0107_color_20250812_092717,0.908801
mersA_apo,Test_904.pdb_idx_0061_color_20250812_092924,0.86787206
mersA_apo,Test_924.pdb_idx_0120_color_20250812_093002,0.78875595
sarsA_apo,Test_815.pdb_idx_0186_color_20250812_092741,0.84273183
sarsA_apo,Test_862.pdb_idx_0034_color_20250812_092808,1.0
mersA_apo,Test_845.pdb_idx_0174_color_20250812_092904,0.37591094
sarsA_apo,Test_791.pdb_idx_0035_color_20250812_092642,0.65906626
sarsA_apo,Test_823.pdb_idx_0139_color_20250812_093015,0.80833334
mersA_apo,Test_877.pdb_idx_0059_color_20250812_092835,0.5166428
sarsA_apo,Test_913.pdb_idx_0160_color_20250812_092858,1.0
sarsA_apo,Test_840.pdb_idx_0138_color_20250812_092726,0.9074074
mersA_apo,Test_774.pdb_idx_0027_color_20250812_092759,0.47408417
sarsA_apo,Test_936.pdb_idx_0137_color_20250812_092851,0.8839286
mersA_apo,Test_910.pdb_idx_0112_color_20250812_093002,0.61270297
sarsA_apo,Test_903.pdb_idx_0117_color_20250812_092718,0.92664474
sarsA_apo,Test_909.pdb_idx_0003_color_20250812_092639,0.79494005
sarsA_apo,Test_851.pdb_idx_0193_color_20250812_092735,0.8809701
sarsA_apo,Test_816.pdb_idx_0066_color_20250812_092651,0.7942708
sarsA_apo,Test_954.pdb_idx_0056_color_20250812_092658,0.89605266
sarsA_apo,Test_846.pdb_idx_0161_color_20250812_092729,0.9194245
mersA_apo,Test_799.pdb_idx_0149_color_20250812_092851,0.32069173
sarsA_apo,Test_961.pdb_idx_0008_color_20250812_092655,0.84625816
sarsA_apo,Test_824.pdb_idx_0105_color_20250812_092821,0.9444444
mersA_apo,Test_794.pdb_idx_0017_color_20250812_092930,0.91886795
mersA_apo,Test_949.pdb_idx_0097_color_20250812_092958,0.92150396
sarsA_apo,Test_776.pdb_idx_0055_color_20250812_092657,0.86499363
sarsA_apo,Test_819.pdb_idx_0111_color_20250812_092716,0.82007575
sarsA_apo,Test_951.pdb_idx_0062_color_20250812_092718,0.9351385
mersA_apo,Test_800.pdb_idx_0081_color_20250812_092815,0.40250638
sarsA_apo,Test_834.pdb_idx_0162_color_20250812_092735,0.87644047
sarsA_apo,Test_842.pdb_idx_0113_color_20250812_092713,0.8582031
mersA_apo,Test_914.pdb_idx_0012_color_20250812_092808,0.49161878
mersA_apo,Test_902.pdb_idx_0006_color_20250812_092915,0.56406903
mersA_apo,Test_929.pdb_idx_0002_color_20250812_092757,0.44946092
mersA_apo,Test_828.pdb_idx_0133_color_20250812_092842,0.3550373
sarsA_apo,Test_964.pdb_idx_0000_color_20250812_092633,0.97192514
mersA_apo,Test_866.pdb_idx_0192_color_20250812_093024,0.887533
mersA_apo,Test_922.pdb_idx_0021_color_20250812_092923,0.7387133
mersA_apo,Test_852.pdb_idx_0096_color_20250812_092822,0.5081361
mersA_apo,Test_830.pdb_idx_0048_color_20250812_092936,0.7698537
sarsA_apo,Test_777.pdb_idx_0173_color_20250812_092737,0.8676108
mersA_apo,Test_809.pdb_idx_0054_color_20250812_092925,0.8351064
mersA_apo,Test_893.pdb_idx_0180_color_20250812_092856,0.4910462
mersA_apo,Test_955.pdb_idx_0057_color_20250812_092924,0.6106195
mersA_apo,Test_889.pdb_idx_0175_color_20250812_092901,0.44154677
sarsA_apo,Test_908.pdb_idx_0071_color_20250812_092704,0.719774
sarsA_apo,Test_864.pdb_idx_0102_color_20250812_092950,0.91071427
sarsA_apo,Test_790.pdb_idx_0127_color_20250812_093001,0.92
mersA_apo,Test_917.pdb_idx_0135_color_20250812_092855,0.5092871
sarsA_apo,Test_938.pdb_idx_0125_color_20250812_092841,0.97321427
sarsA_apo,Test_943.pdb_idx_0030_color_20250812_092643,0.8961632
sarsA_apo,Test_959.pdb_idx_0032_color_20250812_092922,0.9464286
sarsA_apo,Test_916.pdb_idx_0045_color_20250812_092647,0.8146552
sarsA_apo,Test_825.pdb_idx_0099_color_20250812_092728,0.9276885
mersA_apo,Test_844.pdb_idx_0115_color_20250812_092946,0.79584885
sarsA_apo,Test_927.pdb_idx_0085_color_20250812_092929,1.0
sarsA_apo,Test_884.pdb_idx_0043_color_20250812_092648,0.9063927
sarsA_apo,Test_858.pdb_idx_0136_color_20250812_092715,0.9719764
mersA_apo,Test_771.pdb_idx_0092_color_20250812_092939,0.7973485
sarsA_apo,Test_925.pdb_idx_0051_color_20250812_092658,0.877
mersA_apo,Test_962.pdb_idx_0144_color_20250812_092841,0.78323483
sarsA_apo,Test_876.pdb_idx_0053_color_20250812_092935,1.0
sarsA_apo,Test_928.pdb_idx_0011_color_20250812_092806,0.9074074
sarsA_apo,Test_906.pdb_idx_0153_color_20250812_092736,0.5472904
