prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_shape_20250812_092935,0.9794939
sarsA_apo,Test_792.pdb_idx_0194_shape_20250812_092746,0.71362305
sarsA_apo,Test_887.pdb_idx_0083_shape_20250812_092942,1.0
sarsA_apo,Test_940.pdb_idx_0014_shape_20250812_092634,0.8796296
mersA_apo,Test_814.pdb_idx_0116_shape_20250812_092853,0.40725806
sarsA_apo,Test_798.pdb_idx_0169_shape_20250812_092738,0.8993268
mersA_apo,Test_781.pdb_idx_0165_shape_20250812_093025,0.42906976
sarsA_apo,Test_849.pdb_idx_0134_shape_20250812_092710,0.95903164
mersA_apo,Test_783.pdb_idx_0178_shape_20250812_093011,0.8104396
mersA_apo,Test_933.pdb_idx_0044_shape_20250812_092805,0.41543478
sarsA_apo,Test_822.pdb_idx_0001_shape_20250812_092639,0.94979227
sarsA_apo,Test_797.pdb_idx_0098_shape_20250812_092718,0.83661646
sarsA_apo,Test_841.pdb_idx_0147_shape_20250812_092717,0.15929204
sarsA_apo,Test_788.pdb_idx_0185_shape_20250812_092733,0.96539164
sarsA_apo,Test_855.pdb_idx_0041_shape_20250812_092650,0.9073705
sarsA_apo,Test_952.pdb_idx_0068_shape_20250812_092715,0.8213904
mersA_apo,Test_807.pdb_idx_0020_shape_20250812_092757,0.4616464
sarsA_apo,Test_882.pdb_idx_0086_shape_20250812_092718,0.84130144
mersA_apo,Test_811.pdb_idx_0047_shape_20250812_092755,0.37437394
sarsA_apo,Test_942.pdb_idx_0094_shape_20250812_092703,0.74263674
sarsA_apo,Test_901.pdb_idx_0084_shape_20250812_092939,0.875
mersA_apo,Test_803.pdb_idx_0095_shape_20250812_093014,0.84563345
sarsA_apo,Test_941.pdb_idx_0074_shape_20250812_092659,0.67413104
mersA_apo,Test_869.pdb_idx_0079_shape_20250812_093004,0.78415453
sarsA_apo,Test_875.pdb_idx_0118_shape_20250812_092715,0.9235537
mersA_apo,Test_871.pdb_idx_0013_shape_20250812_092749,0.78369385
sarsA_apo,Test_795.pdb_idx_0146_shape_20250812_092737,0.9153325
mersA_apo,Test_874.pdb_idx_0122_shape_20250812_092957,0.719139
mersA_apo,Test_932.pdb_idx_0119_shape_20250812_092839,0.52380955
mersA_apo,Test_810.pdb_idx_0088_shape_20250812_092821,0.38385978
sarsA_apo,Test_872.pdb_idx_0140_shape_20250812_093002,1.0
sarsA_apo,Test_895.pdb_idx_0166_shape_20250812_092732,0.9041777
sarsA_apo,Test_863.pdb_idx_0121_shape_20250812_092726,0.86424243
mersA_apo,Test_948.pdb_idx_0163_shape_20250812_092845,0.82650274
sarsA_apo,Test_808.pdb_idx_0069_shape_20250812_092705,0.9047619
mersA_apo,Test_827.pdb_idx_0128_shape_20250812_092842,0.40067407
sarsA_apo,Test_806.pdb_idx_0039_shape_20250812_092642,0.95468056
sarsA_apo,Test_853.pdb_idx_0143_shape_20250812_092727,0.7407129
mersA_apo,Test_958.pdb_idx_0036_shape_20250812_092921,0.8635762
sarsA_apo,Test_912.pdb_idx_0151_shape_20250812_092729,0.9630848
mersA_apo,Test_870.pdb_idx_0183_shape_20250812_092901,0.49974924
mersA_apo,Test_854.pdb_idx_0078_shape_20250812_092938,0.8968509
mersA_apo,Test_796.pdb_idx_0018_shape_20250812_092921,0.9261745
sarsA_apo,Test_832.pdb_idx_0089_shape_20250812_092715,0.93197054
sarsA_apo,Test_782.pdb_idx_0177_shape_20250812_092738,0.84571254
sarsA_apo,Test_957.pdb_idx_0170_shape_20250812_092733,0.8869048
sarsA_apo,Test_945.pdb_idx_0026_shape_20250812_092638,0.8825043
mersA_apo,Test_773.pdb_idx_0077_shape_20250812_092824,0.48688194
sarsA_apo,Test_785.pdb_idx_0010_shape_20250812_092634,0.90938866
mersA_apo,Test_837.pdb_idx_0145_shape_20250812_092848,0.44102913
sarsA_apo,Test_829.pdb_idx_0132_shape_20250812_092842,1.0
mersA_apo,Test_900.pdb_idx_0152_shape_20250812_092851,0.45929673
sarsA_apo,Test_780.pdb_idx_0181_shape_20250812_092856,1.0
mersA_apo,Test_856.pdb_idx_0142_shape_20250812_093010,0.8762285
sarsA_apo,Test_793.pdb_idx_0167_shape_20250812_092734,0.7858596
sarsA_apo,Test_789.pdb_idx_0157_shape_20250812_092728,0.7924188
sarsA_apo,Test_956.pdb_idx_0046_shape_20250812_092926,0.9673913
mersA_apo,Test_953.pdb_idx_0100_shape_20250812_092825,0.52473325
mersA_apo,Test_802.pdb_idx_0176_shape_20250812_093025,0.91729796
sarsA_apo,Test_775.pdb_idx_0171_shape_20250812_092739,0.7682863
sarsA_apo,Test_950.pdb_idx_0101_shape_20250812_092706,0.9319757
sarsA_apo,Test_923.pdb_idx_0090_shape_20250812_092716,0.8365071
