prot,lig,score
4x9r_protein,4x9r,0.17052802
2vk2_protein,2vk2,0.46914008
4jg6_protein,4jg6,0.7832569
1inf_protein,1inf,0.9466743
5amn_protein,5amn,0.886931
4zyc_protein,4zyc,0.87341267
3kr1_protein,3kr1,0.89360315
4v05_protein,4v05,0.8810175
2j7g_protein,2j7g,0.96221864
4bds_protein,4bds,0.58
4kiw_protein,4kiw,0.80986315
4p7s_protein,4p7s,0.44836065
3mhw_protein,3mhw,0.6716189
1g7v_protein,1g7v,0.01092233
1umw_protein,1umw,0.48769286
4bfr_protein,4bfr,0.893909
3emg_protein,3emg,0.6947531
3g1v_protein,3g1v,0.9538288
6ful_protein,6ful,0.0
3nxq_protein,3nxq,0.79969573
4hys_protein,4hys,0.94509596
2oj9_protein,2oj9,0.60888886
5cwa_protein,5cwa,0.9878641
4wr7_protein,4wr7,0.8660714
3mv0_protein,3mv0,1.0
6hvj_protein,6hvj,0.9458763
3ubd_protein,3ubd,0.73822564
5jfu_protein,5jfu,0.70522386
5f2u_protein,5f2u,0.0
3qj9_protein,3qj9,0.8879797
3g4i_protein,3g4i,0.9926362
5a2j_protein,5a2j,0.61074823
4my6_protein,4my6,0.6779874
3ov1_protein,3ov1,0.77797204
3rk7_protein,3rk7,0.8693343
2r5a_protein,2r5a,0.8860465
5lzg_protein,5lzg,0.5846413
4o09_protein,4o09,0.9671854
4ara_protein,4ara,0.8911401
2xyu_protein,2xyu,0.3137119
4w9n_protein,4w9n,0.0
2d3z_protein,2d3z,0.90743804
4bdk_protein,4bdk,0.9462264
4y6p_protein,4y6p,0.65498155
1err_protein,1err,0.90929705
6bky_protein,6bky,0.0
4eoh_protein,4eoh,0.0
5fhm_protein,5fhm,0.77351695
3kqy_protein,3kqy,0.60163045
3g3n_protein,3g3n,0.50042665
5ngr_protein,5ngr,0.6327623
4ieh_protein,4ieh,0.44393632
3fx6_protein,3fx6,0.6833085
3dkf_protein,3dkf,0.9008564
5kls_protein,5kls,0.0
6d9x_protein,6d9x,1.0
2iv9_protein,2iv9,0.065427855
3mp6_protein,3mp6,0.72139674
3piy_protein,3piy,0.25562283
2qbr_protein,2qbr,0.90947664
6dlx_protein,6dlx,0.40246212
6eda_protein,6eda,0.90195245
4e8y_protein,4e8y,0.0
5nbw_protein,5nbw,0.13484251
3gpe_protein,3gpe,0.36065573
3n1c_protein,3n1c,0.0075845974
5ouh_protein,5ouh,0.39443463
5myd_protein,5myd,0.012977099
4c1e_protein,4c1e,0.6889474
2j4q_protein,2j4q,0.0588697
3u6w_protein,3u6w,0.0
3gc5_protein,3gc5,0.9799546
1n7i_protein,1n7i,0.87525666
3d4l_protein,3d4l,0.80863404
3v5p_protein,3v5p,0.9678468
2q2a_protein,2q2a,0.98915094
4zwx_protein,4zwx,0.76403064
5ien_protein,5ien,0.7130081
6c0u_protein,6c0u,0.7466562
6ezi_protein,6ezi,0.10698808
3mxs_protein,3mxs,0.6533333
1y2k_protein,1y2k,0.9897959
5i9z_protein,5i9z,0.5452358
5btv_protein,5btv,0.8231441
